date,carbon-intensity,cfe
2021-01,291.184718,43.539341
2021-02,270.851324,48.668185
2021-03,268.785121,47.385847
2021-04,281.897986,45.059931
2021-05,217.948212,58.262554
2021-06,245.779056,53.068403
2021-07,255.257581,50.298952
2021-08,248.662487,52.676573
2021-09,308.954125,41.640458
2021-10,296.797796,43.954745
2021-11,346.728514,33.076681
2021-12,329.303508,37.868817
2022-01,326.947876,36.603683
2022-02,330.489896,38.980595
2022-03,347.359073,35.822218
2022-04,286.829444,46.882681
2022-05,278.905793,49.765565
2022-06,302.611042,44.933722
2022-07,320.503602,42.209194
2022-08,320.927339,40.839435
2022-09,328.940597,41.090514
2022-10,335.784745,39.167164
2022-11,318.867014,42.927639
2022-12,360.52,35.83832
2023-01,325.063548,43.14629
2023-02,326.363958,41.723616
2023-03,300.272755,46.187594
2023-04,219.668708,54.275889
2023-05,203.494489,59.877003
2023-06,238.369903,55.660375
2023-07,248.732043,50.746962
2023-08,230.276129,54.55711
2023-09,250.623222,50.493986
2023-10,234.661263,52.50797
2023-11,210.026097,58.736986
2023-12,238.637702,50.69586
2024-01,232.030632,52.224194
2024-02,225.667399,54.523319
2024-03,192.853871,60.919556
2024-04,170.670889,66.253958
2024-05,158.240887,68.989731
2024-06,171.978792,65.487792
2024-07,200.595995,57.939099
2024-08,224.420538,52.27996
2024-09,218.139361,54.222792
2024-10,206.335591,58.53039
2024-11,249.970847,48.306319
2024-12,237.27578,49.46375
