date,carbon-intensity,cfe,order_type
2022_12,360.52,35.83832,carbon_desc
2022_3,347.359073,35.822218,carbon_desc
2021_11,346.728514,33.076681,carbon_desc
2022_10,335.784745,39.167164,carbon_desc
2022_2,330.489896,38.980595,carbon_desc
2024_5,158.240887,68.989731,carbon_asc
2024_4,170.670889,66.253958,carbon_asc
2024_6,171.978792,65.487792,carbon_asc
2024_3,192.853871,60.919556,carbon_asc
2024_7,200.595995,57.939099,carbon_asc
2024_5,158.240887,68.989731,cfe_desc
2024_4,170.670889,66.253958,cfe_desc
2024_6,171.978792,65.487792,cfe_desc
2024_3,192.853871,60.919556,cfe_desc
2023_5,203.494489,59.877003,cfe_desc
2021_11,346.728514,33.076681,cfe_asc
2022_3,347.359073,35.822218,cfe_asc
2022_12,360.52,35.83832,cfe_asc
2022_1,326.947876,36.603683,cfe_asc
2021_12,329.303508,37.868817,cfe_asc
